HGNC Symbol,GeneID,siRNA_Average_Zscore,protein_abundance_log2FC_24h,protein_abundance_log2FC_48h
MRPL30,51263,1.5131549986904451,,
MRPL39,54148,,1.864309705,
MRPS14,63931,,,0.707201924
MRPS16,51021,1.734502325190953,,
MSI2,124540,1.179276449890965,,
MSLN,10232,2.9237401758148502,,
MSN,4478,1.314858491633278,,
MSX1,4487,1.5098101291106962,,
MTARC1,64757,1.3297872296983937,,
MTDH,92140,1.1960230178204034,,
MTFMT,123263,1.393387586257592,,
MTG1,92170,1.2846631472323262,,
MTRF1,9617,1.942329276121518,,
MUC4,4585,1.7788142726074665,,
MVP,9961,1.2879563312306213,,
MX1,4599,,3.466208244,6.232267805
MX2,4600,,3.68336919,5.787620472
MYDGF,56005,1.4901981894050724,,
MYH1,4619,1.9602234718389433,,
MYH4,4622,1.3975323993494366,,
MYL3,4634,1.1937173015739284,,
MYO5A,4644,2.0554399528356666,,
MYOF,26509,1.1945244980012382,,
MYORG,57462,1.249071214146103,,
NAA80,24142,1.1249706109783064,,
NACA2,342538,1.3110746499005486,,
NAE1,8883,1.3031191394050596,,
NAGPA,51172,1.4598340216133625,,
NAP1L1,4673,1.9697589192463467,,
NAPB,63908,1.158382537368369,,
NAT8,9027,1.2439540136319946,,
NBEAL2,23218,,-1.278896145,
NBL1,4681,1.2413440311395845,,
NCAPG2,54892,1.6818534700054233,,
NCOA1,8648,1.3500995425614677,,
NDEL1,81565,1.3417328134038011,,
NDUFAF6,137682,1.898995420383318,,
NEDD1,121441,1.1526509477830225,,
NEDD9,4739,1.7683350806359075,,
NELFCD,51497,1.2918647458606944,,
NEO1,4756,1.1841156815805656,,
NEURL4,84461,1.4798444700465554,,
NEUROD2,4761,1.2521645759185605,,
NEUROG3,50674,1.2691149598308742,,
NEXN,91624,1.3337064603004725,,
NFASC,23114,1.1455583363189576,,
NFRKB,4798,1.2064498751067363,,
NGDN,25983,1.5474559544277915,,
NIPSNAP3B,55335,1.228964695903923,,
NLRP1,22861,1.1314893492238682,,
NLRP3,114548,1.2655781662669054,,
NMBR,4829,1.374303434225166,,
NME9,347736,1.2083712485625595,,
NOTCH2NLA,388677,1.137208383901684,,
NPAS3,64067,1.5646158806486667,,
NPC2,10577,1.5651793016576652,,
NPIPA1,9284,1.521806283021377,,
NPPA,4878,1.739956832509134,,
NRF1,4899,1.5222749916661475,,
NRN1L,123904,1.126154432411055,,
NT5C3A,51251,,2.031440785,
NTM,50863,1.2300705717987732,,
NUB1,51667,,,4.458123748
NUDCD2,134492,1.1041164138823962,,
NUDT18,79873,1.7204110786892648,,
NUP210L,91181,1.379126333527052,,
NUP62CL,54830,1.1003853915511257,,
NUPR1,26471,1.125514672192409,,
OAS1,4938,,2.309110681,2.327680098
OAS2,4939,,,3.580865407
OAS3,4940,,,3.175544218
OASL,8638,,,2.916732074
OBI1,79596,1.2253526651561182,,
OBP2A,29991,1.4868526282096406,,
ODF2,4957,1.1672199076965886,,
ODF2L,57489,1.1026996053691476,,
OFD1,8481,1.1044480294643524,,
OLFML2A,169611,1.9913352961413424,,
OLR1,4973,1.165506787530971,,
OPCML,4978,1.4753907602021314,,
OPTC,26254,1.4045885229160695,,
OR10A7,121364,1.4882066868187638,,
OR10K2,391107,1.5996045769375606,,
OR12D3,81797,1.2049582603763669,,
OR1D5,8386,1.553942933847567,,
OR1K1,392392,1.3841460454635786,,
OR1L1,26737,1.1938136438994134,,
OR2D3,120775,1.153367035903823,,
OR2S2,56656,1.1268580346583423,,
OR2T11,127077,1.55640553257377,,
OR2T12,127064,1.22456615374875,,
OR2W1,26692,1.4118364056320154,,
OR4D2,124538,1.266320748031421,,
OR4K15,81127,1.1571152810831695,,
OR4K2,390431,1.140307985596553,,
OR4P4,81300,1.5426955734843402,,
OR51A4,401666,1.7196369653454495,,
OR51A7,119687,1.5974194395787982,,
OR52B2,255725,1.418186935480534,,
OR52B4,143496,1.1349708202195727,,
OR52B6,340980,1.1422187179875416,,
OR52I2,143502,1.517407927166765,,
OR52K2,119774,1.162804461239587,,
OR5L1,219437,1.2004851448185927,,
