A - HGNC,B - Gene ID,C - UniProtID,D - Protein abundance 24 hours after infection vs mock control,E - Protein abundance 48 hours after infection vs mock control,"F - siRNA Screen Average Zscore (the higher the score, the stronger the negative effect on viral replication)",G - mRNA expression 24 hours after infection (log2FC_24hpi),H - mRNA expression 48 hours after infection (log2FC_48hpi),I - Dengue viral protein interacting with host protein,J - dengue_MiST_list
MTCL1,23255,Q9Y4B5,,,,,-2.358092811,,
MTARC1,64757,Q5VT66,,,1.32978723,,,"DENV2 16681 NS4A,ZIKVfp NS4A","0.8115251351456703,0.673741838"
MSX1,4487,P28360,,,1.509810129,,,,
MSN,4478,P26038,,,1.314858492,,,,
MSLN,10232,Q13421,,,2.923740176,,,,
MSI2,124540,Q96DH6,,,1.17927645,,,DENV2 16681 Capsid,0.7463637998186144
MSH5-SAPCD1,100532732,,,,,-2.17365427,,,
MSC,9242,O60682,,,,,2.456749507,,
MRPS16,51021,Q9Y3D3,,,1.734502325,,-2.163169579,DENV2 16681 Capsid,0.6619631173668363
MRPS14,63931,O60783,,0.707201924,,,,,
MRPL53,116540,Q96EL3,,,,,-2.940827305,ZIKVug Capsid,0.727763528
MRPL39,54148,Q9NYK5,1.864309705,,,,,DENV2 16681 Capsid,0.8386112385067424
MRPL36,64979,Q9P0J6,,,,,5.03291773,,
MRPL30,51263,Q8TCC3,,,1.513154999,,,,
MRPL21,219927,Q7Z2W9,,,1.652198734,,,"DENV2 16681 Capsid,ZIKVfp Capsid","0.6790998789147351,0.800059469"
MRPL20,55052,Q9BYC9,,,1.260016287,,,"DENV2 16681 Capsid,DENV2 16681 Capsid Anchor,ZIKVfp Capsid,ZIKVug Capsid","0.8220562457444534,0.7192226376319775,0.91368244,0.918000441"
MRPL10,124995,Q7Z7H8,,,2.069399661,,,DENV2 16681 Capsid,0.629718461389543
MROH7,374977,Q68CQ1,,,,,-2.080070423,,
MRNIP,51149,Q6NTE8,,,1.543659061,,,,
MRM1,79922,Q6IN84,,,1.478495569,,,,
MPZL1,9019,O95297,,,1.42260121,,,DENV2 16681 NS5,0.6564906888401908
MPV17L2,84769,Q567V2,,,1.159320033,,,,
MPLKIP,136647,Q8TAP9,,,1.160128112,,,,
MPIG6B,80739,O95866,,,1.500486509,,,,
MPG,4350,P29372,,,,,-2.409025459,,
MOXD1,26002,Q6UVY6,,,,3.425641012,5.551720643,,
MOGS,7841,Q13724,,,1.2219325,,,,
MOGAT1,116255,Q96PD6,,,,,-2.791271812,,
MOAP1,64112,Q96BY2,,,,-3.664711698,,,
MN1,4330,Q10571,,,,,2.145446057,,
MMS22L,253714,Q6ZRQ5,,,1.434016746,,,,
MMP25,64386,Q9NPA2,,,,,2.264355815,,
MMP10,4319,P09238,,,1.767040066,,,,
MME,4311,P08473,,,,,-2.161562885,,
MMD,23531,Q15546,,,1.261774977,,,,
MMAB,326625,Q96EY8,,,1.220840262,,,,
MLX,6945,Q9UH92,,,1.096678544,,,,
MLEC,9761,Q14165,,,1.199409864,,,DENV2 16681 NS4B,0.7300263391738064
MLANA,2315,Q16655,,,1.755731711,,,,
MKI67,4288,P46013,,,,,-2.830821843,ZIKVfp Capsid,0.790826617
MIR3945HG,731424,,,,,,5.290265316,,
MIR181A1HG,100131234,,,,,,2.494251095,,
MIR155HG,114614,,,,,,2.893898621,,
MGAT1,4245,P26572,,,1.589987394,,,ZIKVfp NS4A,0.787160459
MFSD2A,84879,Q8NA29,,,1.269977015,,,,
MEX3D,399664,Q86XN8,,,1.221472268,,,,
MEX3B,84206,Q6ZN04,,,,-2.724501261,,,
METTL6,131965,Q8TCB7,,,1.249897062,,,,
METTL26,84326,Q96S19,,,1.219684757,,,,
METTL13,51603,Q8N6R0,,-0.964496405,,,,,
MEP1B,4225,Q16820,,,,,5.260033844,,
MELTF,4241,P08582,,,1.51279375,,,,
MED6P1,100128990,,,,,6.554079551,8.533873776,,
MED14OS,100873985,,,,,2.606290909,3.68162528,,
MED13L,23389,Q71F56,,,1.14916179,,,,
MECP2,4204,P51608,,,2.053477693,,,,
ME3,10873,Q16798,,,,,-2.862127646,,
MDP1,145553,Q86V88,,,1.371853885,,,,
MDK,4192,P21741,,,,,2.870519264,,
MDGA1,266727,Q8NFP4,,,,,2.466462569,,
MCTP2,55784,Q6DN12,,,1.684948523,,,,
MCTP1-AS1,113523641,,,,,,2.278256849,,
MCPH1,79648,Q8NEM0,,,2.034247314,,,,
MCOLN2,255231,Q8IZK6,,,,2.389169459,4.431718212,,
MCF2L,23263,O15068,,,,,-3.782809087,,
MCEMP1,199675,Q8IX19,,,,-2.399071533,-2.658127386,,
MCCC1,56922,Q96RQ3,,,1.153973526,,,,
MCAM,4162,P43121,,,,,-2.571600538,,
MBNL3,55796,Q9NUK0,,,1.574113528,,,,
MBNL1-AS1,401093,,,,,,6.463516651,,
MBLAC2,153364,Q68D91,,,1.484724479,,,"ZIKVfp NS4A,ZIKVug NS4A","0.797737569,0.70458463"
MBD5,55777,Q9P267,,,1.379520955,,,,
MBD3,53615,O95983,,,1.19363753,,,,
MATK,4145,P42679,,,,,-2.014698996,,
MATCAP2,23366,Q8NCT3,,,,,-2.1803825,,
MASTL,84930,Q96GX5,,,,,2.528208702,,
MARCO,8685,Q9UEW3,,,,,-2.394138399,,
MARCKSL1,65108,P49006,,,,4.320569543,,,
MARCKS,4082,P29966,,2.060799559,,,,,
MAPK9,5601,P45984,-0.899060288,,,,,,
MAPK8IP2,23542,Q13387,,,2.240140855,,,,
MAPK14,1432,Q16539,,,1.154111878,,,,
MAP7,9053,Q14244,,,,,-2.104696158,,
MAP2K3,5606,P46734,,,1.241165441,,,,
MAP2,4133,P11137,,,,,3.71506647,,
MAP1B,4131,P46821,,,1.109308507,,,,
MANEAL,149175,Q5VSG8,,,,,-2.624958037,,
MAN1A2,10905,O60476,,,2.263966543,,,,
MAMLD1,10046,Q13495,,,1.439470058,,,,
MAK,4117,P20794,,,1.425050451,,,,
MAGED1,9500,Q9Y5V3,,,,,-2.295468373,DENV2 16681 NS3,0.7107731966671947
MAGEC1,9947,O60732,,,1.856499476,,,,
MAGEB4,4115,O15481,,,1.582920795,,,,
MAGEB3,4114,O15480,,,1.142649742,,,,
MAGEA5P,4104,,,,1.40734345,,,,
MAG,4099,P20916,,,1.458451508,,,,
MACROD1,28992,Q9BQ69,,,1.343368178,,,,
MAB21L4,79919,Q08AI8,,,1.709281164,,,,
MAB21L2,10586,Q9Y586,,,1.391860525,,,,
LYSMD4,145748,Q5XG99,,,1.553333308,,,,
LYSMD2,256586,Q8IV50,,,,3.380155836,4.637059841,,
LYRM7,90624,Q5U5X0,,,,,-2.046423085,,
LYPD4,147719,Q6UWN0,,,1.462622268,,,,
LYPD2,137797,Q6UXB3,,,1.312308267,,,,
LYAR,55646,Q9NX58,1.381904766,,1.400921767,,,DENV2 16681 Capsid,0.6392112295016287
LY6E-DT,100133669,,,,,3.012393905,2.600799572,,
LY6D,8581,Q14210,,,1.27954342,,,,
LUC7L3,51747,O95232,,,1.507629247,,,"ZIKVfp NS5,ZIKVug NS5","0.870753849,0.831100085"
LTA,4049,P01374,,,,,5.964985238,,
LRRN2,10446,O75325,,,1.469008194,,,,
LRRK2-DT,107984474,,,,,,5.527107898,,
LRRCC1,85444,Q9C099,,,1.200263767,,,,
LRRC75A,388341,Q8NAA5,,,1.534474981,,,,
LRRC40,55631,Q9H9A6,,,1.180701969,,,,
LRRC26,389816,Q2I0M4,,,1.663547526,,,,
LRRC15,131578,Q8TF66,,,1.446409272,,,,
LRRC14,9684,Q15048,,,1.614578785,,,,
LRP2,4036,P98164,,,,,3.629751811,,
LRP1,4035,Q07954,,-1.81193024,1.356874655,,-2.292685814,,
LRIF1,55791,Q5T3J3,,,1.603528093,,,,
LPL,4023,P06858,,-2.614530164,,,,,
LMTK3,114783,Q96Q04,,,1.411001716,,,,
LMNB1,4001,P20700,,,,,2.493584991,DENV2 16681 NS4A,0.6809424964148983
LMF1,64788,Q96S06,,,,,-2.100373808,,
LIPG,9388,Q9Y5X9,,,1.434602598,,-3.091690717,,
LINS1,55180,Q8NG48,,,1.358405881,,,,
LINC02908,401563,,,,1.454308592,,,,
LINC02865,116435283,,,,,4.822171589,4.786824737,,
LINC02842,101929628,,,,,4.330464244,7.463384011,,
LINC02798,107985194,,,,,3.977720821,3.029034641,,
LINC02728,101928865,,,,,,2.767871602,,
LINC02384,100507195,,,,,,2.475965777,,
LINC02100,107986408,,,,,,2.480689355,,
LINC02068,105374219,,,,,2.481207789,3.599596292,,
LINC02035,100129550,,,,1.270478205,,,,
LINC02033,105377031,,,,,,2.545428248,,
LINC02006,105374165,,,,,,3.759360992,,
LINC01827,105373818,,,,,,-2.820255123,,
LINC01800,101927438,,,,,,-2.015302126,,
LINC01539,100505474,,,,,,3.777426866,,
LINC01506,101927015,,,,,,2.076905241,,
LINC01375,101926924,,,,,,-2.905479066,,
LINC01358,101926925,,,,,2.482284548,3.482188737,,
LINC01181,379034,,,,,,3.541978379,,
LINC00996,285972,,,,,3.670692342,6.322130846,,
LINC00696,100128378,,,,1.520483913,,,,
LINC00309,150992,,,,,5.940680549,6.839057058,,
LINC00243,401247,,,,,3.17691843,4.941484925,,
LINC00158,54072,,,,,4.570013551,6.927777877,,
LIMS2,55679,Q7Z4I7,,,1.124968799,,,,
LIMD2,80774,Q9BT23,,,,,-2.557555831,,
LILRB1,10859,Q8NHL6,,,,2.06017972,,,
LILRA5,353514,A6NI73,,,,2.40874989,2.832940244,,
LIG4,3981,P49917,,,1.144738651,,,,
LIAS,11019,O43766,,,1.652011083,,,,
LHFPL6,10186,Q9Y693,,,,,2.114329407,,
LHFPL3-AS2,723809,,,,,3.296992575,5.679574485,,
LGR4,55366,Q9BXB1,,,,,-2.165024694,,
LGMN,5641,Q99538,,1.031465532,,,2.218071797,,
LGALS4,3960,P56470,,,1.130919931,,,,
LGALS3BP,3959,Q08380,,,1.12711566,3.344862262,4.425179154,,
LGALS17A,400696,,,,,4.993028701,6.663015734,,
LGALS13,29124,Q9UHV8,,,1.901454065,,,,
LDLRAD2,401944,Q5SZI1,,,,,-4.052613916,,
LDHD,197257,Q86WU2,,,,,-2.720815726,,
LDHAP4,158222,,,,,,-2.433431005,,
LDHAL6A,160287,Q6ZMR3,,,1.207562456,,,,
LDAF1,57146,Q96B96,,,1.556926925,,,,
LCP2,3937,Q13094,,,1.527205025,,,,
LCE3E,353145,Q5T5B0,,,1.141795029,,,,
LCE2C,353140,Q5TA81,,,1.208303468,,,,
LCE2A,353139,Q5TA79,,,1.248753678,,,,
LAT,27040,O43561,,,,,-2.294498033,,
LARGE2,120071,Q8N3Y3,,,1.140006136,,,,
LAP3,51056,P28838,,,,,2.651971435,,
LAMTOR4,389541,Q0VGL1,,,1.396367581,,,,
LAMP3,27074,Q9UQV4,,,,,2.473417231,,
LAMC2,3918,Q13753,,,1.608569248,,,,
LAMA3,3909,Q16787,,,,,3.12295851,,
LALBA,3906,P00709,,,1.446145195,,,,
LAG3,3902,P18627,,,,4.579981781,4.574016149,,
LAD1,3898,O00515,,,1.124515504,,,,
L3MBTL4,91133,Q8NA19,,,1.612004388,,,,
L3MBTL2-AS1,100506544,,,,,,2.198559758,,
KRTAP4-4,84616,Q9BYR3,,,1.158974886,,,,
KRTAP20-3,337985,Q3LI60,,,1.941583142,,,,
KRTAP20-1,337975,Q3LI63,,,1.651248213,,,,
KRTAP12-2,353323,P59991,,,1.10018731,,,,
KRT81,3887,Q14533,,,1.199614097,,,,
KRT79,338785,Q5XKE5,,,,,-3.322798479,,
KRT4,3851,P19013,,,,-2.439902399,-4.204983783,,
KRT13,3860,P13646,,,1.22466759,,,,
KMO,8564,O15229,,,1.897336758,,,,
KLRG1,10219,Q96E93,,,1.142761249,,,,
KLHL35,283212,Q6PF15,,,1.134700357,,,,
KLHL34,257240,Q8N239,,,1.244635672,,,,
KLHL23,151230,Q8NBE8,,,1.751874371,,,,
KLHL12,59349,Q53G59,,,1.188834003,,,ZIKVug NS3,0.705153265
KLHDC7A,127707,Q5VTJ3,,,2.238904786,,,,
KLHDC3,116138,Q9BQ90,,,1.147460749,,,,
KLF4,9314,O43474,,,,,2.954495444,,
KLC4,89953,Q9NSK0,,,2.004909457,,,,
KIR2DL4,3805,Q99706,,,,3.399939034,7.763630421,,
KIF9,64147,Q9HAQ2,,,2.142621006,,,,
KIF15,56992,Q9NS87,,,1.317639806,,,,
KIAA1671,85379,Q9BY89,,,,2.904323409,4.771374368,,
KIAA1210,57481,Q9ULL0,,,,,-3.039577247,,
KIAA0040,9674,Q15053,,,,2.577510854,,,
KHNYN,23351,O15037,,,1.105736014,,,,
KDM5B,10765,Q9UGL1,,,1.828207283,,,,
KDM4A,9682,O75164,,,1.204569874,,,,
KCTD20,222658,Q7Z5Y7,,,1.961009985,,,,
KCTD15,79047,Q96SI1,,,,-2.16789183,-2.906986948,,
KCTD14,65987,Q9BQ13,,,,,5.632294012,,
KCNS3,3790,Q9BQ31,,,,,3.824476252,,
KCNRG,283518,Q8N5I3,,,,,2.309468943,,
KCNJ2,3759,P63252,,,,,2.263385623,,
KCNJ1,3758,P48048,,,,,-2.832227812,,
KCNH7,90134,Q9NS40,,,,,2.301723019,,
KCNA2,3737,P16389,,,,,-3.264392219,,
KBTBD8,84541,Q8NFY9,,,1.809727146,,,,
KBTBD6,89890,Q86V97,,,,3.384030489,,,
KALRN,8997,O60229,,,,2.642057206,,,
JAZF1,221895,Q86VZ6,,,,,2.057618117,,
JAK2,3717,O60674,,,,,2.209451182,,
JADE3,9767,Q92613,,,,,2.58578016,,
JADE2,23338,Q9NQC1,,,,2.17383768,,,
IWS1,55677,Q96ST2,,,1.171534528,,,DENV2 16681 NS5,0.8635710126385087
ITPRIP,85450,Q8IWB1,,,1.38973523,-2.734868414,,,
ITM2C,81618,Q9NQX7,,,1.176812422,,,,
ITIH4,3700,Q14624,,,,3.101136315,2.511485837,,
ITIH3,3699,Q06033,,,,2.737472078,4.217350912,,
ITGB8,3696,P26012,,,,,3.107680551,,
ITGB3,3690,P05106,,,,,-2.053792304,,
ITGB1BP1,9270,O14713,,,1.144442169,,,,
ITGAD,3681,Q13349,,,1.24598054,,,,
ITGA9,3680,Q13797,,,,,-2.519280441,,
ITGA3,3675,P26006,,,,,-3.144835644,,
ITGA2,3673,P17301,,,,,2.591184068,,
ITGA11,22801,Q9UKX5,,,1.454421338,,,,
ITCH,83737,Q96J02,,,1.21750675,,,,
ISYNA1,51477,Q9NPH2,,,,,-2.992641963,,
ISG20,3669,Q96AZ6,,,,4.828142773,4.617202099,,
ISG15,9636,P05161,,5.740499175,,,4.448356151,,
IRF7,3665,Q92985,,,,,2.652301412,,
IRF2BP2,359948,Q7Z5L9,,,1.533311425,,,,
IRF1-AS1,441108,,,,,2.56533929,2.739314508,,
IRF1,3659,P10914,,,,2.64043706,3.372379799,,
IREB2,3658,P48200,,-1.855734379,,,,,
IRAK2,3656,O43187,,,,,2.733591477,,
IQGAP3,128239,Q86VI3,,,,,-3.147165315,,
IPO11,51194,Q9UI26,,,1.768883144,,,,
IPMK,253430,Q8NFU5,,,1.161144527,,,,
INTS13,55726,Q9NVM9,,,1.436359348,,,,
INTS10,55174,Q9NVR2,,,1.614655158,,,,
ING3,54556,Q9NXR8,,,1.208184664,,,,
ING2,3622,Q9H160,,,1.315752642,,,,
INCENP,3619,Q9NQS7,,,1.686495674,,,,
INAFM1,255783,C9JVW0,,,1.31072495,,,,
IMPA2,3613,O14732,,,,,-2.026352587,,
ILDR1,286676,Q86SU0,,,1.640044401,,,,
IL7R,3575,P16871,,,,,2.677234398,,
IL7,3574,P13232,,,,2.208163729,2.707972066,,
IL6,3569,P05231,,,,2.513662623,3.52767254,,
IL4I1,259307,Q96RQ9,,,1.128365128,,2.146584316,,
IL31RA,133396,Q8NI17,,,,,3.279910214,,
IL2RA,3559,P01589,,,,,3.781462918,,
IL27,246778,Q8NEV9,,,,,3.901709568,,
IL22RA2,116379,Q969J5,,,,,-3.106417537,,
IL1B,3553,P01584,,,,,2.391995445,,
IL1A,3552,P01583,,,,,2.267739595,,
IL18RAP,8807,O95256,,,,2.810192458,5.347965042,,
IL17RC,84818,Q8NAC3,,,2.25207113,,,,
IL17F,112744,Q96PD4,,,1.623131268,,,,
IL17B,27190,Q9UHF5,,,1.835572708,,,,
IL16,3603,Q14005,,,1.260694102,,,,
IL15RA,3601,Q13261,,,,4.22861413,4.973680342,,
IL15,3600,P40933,,,,2.460964299,3.981251078,,
IL12RB1,3594,P42701,,,,,2.053759187,,
IL12B,3593,P29460,,,,,2.487604783,,
IL12A,3592,P29459,,,,5.974433406,8.678697069,,
IL11,3589,P20809,,,2.344497672,,,,
IGSF3,3321,O75054,,,1.673340845,,,,
IGSF22,283284,Q8N9C0,,,1.40133152,,,,
IGFBP7,3490,Q16270,,,1.731493405,,,,
IGFBP4,3487,P22692,,,,,3.053413674,,
IGF2BP3,10643,O00425,,,,2.992631445,3.258229165,DENV2 16681 Capsid,0.7257279050076705
IFTAP,119710,Q86VG3,,,1.727734581,,,,
IFT70B,150737,Q8N4P2,,,1.552643046,,,,
IFT70A,92104,Q86WT1,,,1.587456685,,,,
IFT56,79989,A0AVF1,,,,,3.301610391,,
IFNW1,3467,P05000,,,,,7.068126321,,
IFNL3,282617,Q8IZI9,,,,,7.010407868,,
IFNL2,282616,Q8IZJ0,,,,,6.433659154,,
IFNL1,282618,Q8IU54,,,,7.305892326,9.670034845,,
IFNA14,3448,P01570,,,1.768734041,,,,
IFITM3,10410,Q01628,,,,2.710363106,5.65329098,,
IFITM1,8519,P13164,,,,5.793175389,9.348815053,,
IFIT5,24138,Q13325,,1.116969129,,3.030091566,6.271589936,,
IFIT3,3437,O14879,3.494644087,5.69825699,,8.197744299,8.15284245,,
IFIT2,3433,P09913,3.884688719,6.643829723,,4.824259361,5.362946175,,
IFIT1,3434,P09914,3.970117068,6.283329563,,8.548467957,10.7981352,,
IFIH1,64135,Q9BYX4,2.003777245,4.555946029,,3.433378392,4.790778075,,
IFI6,2537,P09912,,,,3.89454673,3.108238805,,
IFI44L,10964,Q53G44,,2.64704648,1.54023955,6.093850191,9.038601577,,
IFI44,10561,Q8TCB0,,3.468329055,,4.031842484,4.922575112,,
IFI35,3430,P80217,,,,2.413008255,2.527308768,,
IFI27,3429,P40305,,,1.310115695,3.824845608,5.682027064,,
IFI16,3428,Q16666,,,,,2.525168757,,
IDO2,169355,Q6ZQW0,,,,,4.175579456,,
IDO1,3620,P14902,,,,,5.682855091,,
ICAM5,7087,Q9UMF0,,,,,-2.642984402,,
ICAM4,3386,Q14773,,,1.203952756,,,,
IAH1,285148,Q2TAA2,,,1.283270991,,,,
HYDIN2,100288805,,,,,,3.141619604,,
HYCC2,285172,Q8IXS8,,,1.588422356,,,,
HTR7,3363,P34969,,,1.189924229,,,,
HSPH1,10808,Q92598,,,1.605803451,,,"DENV2 16681 NS2B3,DENV2 16681 NS3","0.6660603281416947,0.657888897451514"
HSPG2,3339,P98160,,,,,-4.226721423,,
HSPB6,126393,O14558,,,1.104108669,,,,
HSPA1B,3304,"['P0DMV9', 'P0DMV8']",,,,,3.437332551,,
HSP90AB3P,3327,,,,,-3.051540073,,,
HSP90AA1,3320,P07900,,,1.447481519,,,,
HSH2D,84941,Q96JZ2,,,,3.083146996,4.223756319,,
HSF5,124535,Q4G112,,,,2.620581376,,,
HSF2,3298,Q03933,,,1.398718223,,,,
HSF1,3297,Q00613,,,1.13457406,,,,
HSDL2,84263,Q6YN16,,,1.153047425,,,,
HSD11B1-AS1,101930114,,,,,,2.613758418,,
HS3ST3B1,9953,Q9Y662,,,,,4.103018801,,
HS3ST2,9956,Q9Y278,,,,2.299717859,,,
HRG,3273,P04196,,,1.303994422,,,,
HRAS,3265,P01112,,,,,-2.362354538,,
HPSE,10855,Q9Y251,,,,3.312685786,4.368560427,,
HPS6,79803,Q86YV9,,,,,-6.561170744,DENV2 16681 NS3,0.6448723377299153
HPGDS,27306,O60760,,,,,-2.754756666,,
HPGD,3248,P15428,,,,,-2.609936157,,
HPCA,3208,P84074,,,1.364268361,,,,
HP,3240,P00738,,,1.474945274,,,,
HOXD13,3239,P35453,,,1.24645972,,,,
HOPX,84525,Q9BPY8,,,,,-2.095502949,,
HOATZ,399949,Q6PI97,,,1.507903101,,,,
HNRNPR,10236,O43390,,,1.388576067,,,"DENV2 16681 Capsid,DENV2 16681 Capsid Anchor","0.7854955363627915,0.7399232599773286"
HNRNPH1,3187,P31943,,,1.536705998,,,,
HNRNPA1P10,664709,,,,,-2.307563953,,,
HMCN1,83872,Q96RW7,,,1.363137959,,-2.954851487,,
HLA-DRB3,3125,P79483,,1.243831368,,,,,
HLA-DRB1,3123,P01911,,0.960305283,1.250304596,,,,
HLA-DOB,3112,P13765,,,,,3.65889624,,
HLA-DOA,3111,P06340,,,1.109846884,,,,
HLA-B,3106,P01889,,2.02347863,,,,,
HLA-B,3106,P01889,,1.008569822,,,,,
HIVEP2,3097,P31629,,,,,3.73300997,,
HIP1R,9026,O75146,,,,,2.197179228,,
HILPDA,29923,Q9Y5L2,,,,,-2.491524285,,
HIC2,23119,Q96JB3,,,1.938521588,,,ZIKVug NS5,0.681337138
HIC1,3090,Q14526,,,,,-2.555213323,,
HHEX,3087,Q03014,,,,,-2.218402917,,
HGH1,51236,Q9BTY7,,,,,-2.361624447,,
HEXA-AS1,80072,,,,,,-5.580698,,
HESX1,8820,Q9UBX0,,,,5.871560243,6.516752245,,
HES3,390992,Q5TGS1,,,1.211637097,,,,
HES2,54626,Q9Y543,,,1.215937145,,,,
HERC6,55008,Q8IVU3,,,,2.99892681,3.738752431,,
HERC5,51191,Q9UII4,,,1.212637102,6.083065282,7.300224041,ZIKVug Capsid,0.79241906
HELZ2,85441,Q9BYK8,,,,3.018836916,3.122730528,,
HELB,92797,Q8NG08,,,,,2.415118029,,
HECTD2,143279,Q5U5R9,,,1.147668779,,,,
HEATR9,256957,A2RTY3,,,,3.870094995,5.997199455,,
HEATR5B,54497,Q9P2D3,,,1.758651711,,,,
HEATR4,399671,Q86WZ0,,,1.145277162,,,,
HDX,139324,Q7Z353,,,,2.516995683,2.877979634,,
HDAC11,79885,Q96DB2,,,1.497627709,,,,
HCAR2,338442,Q8TDS4,,,,,3.368099856,,
HBEGF,1839,Q99075,,,,,2.476480097,,
HAUS1,115106,Q96CS2,,,2.024863026,,,ZIKVug NS3,0.783937324
HARS2,23438,P49590,,1.502810985,,,,,
HARBI1,283254,Q96MB7,,,1.207219395,,,,
HAPLN3,145864,Q96S86,,,,3.972207023,5.475283122,,
HAND1,9421,O96004,,,1.311004824,,,,
H4C5,8367,P62805,,,,-6.681921538,,,
H4C14,8370,P62805,,,,,2.993857173,,
H3P47,115482706,,,,,-2.38801147,,,
H3C3,8352,P68431,,,1.8256844,,,,
H3-3B,3021,P84243,,,,2.290202972,,,
H2BP2,338391,,,,,,2.147844069,,
H2BC3,3018,P33778,,,1.566457381,,,,
H2BC1,255626,Q96A08,,,1.134092407,,,,
GZMK,3003,P49863,,,1.518011272,,,,
GYPC,2995,P04921,,,,,-2.012235757,,
GXYLT2,727936,A0PJZ3,,,,3.257650769,4.015418635,,
GXYLT1P4,100132441,,,,,,-2.439313839,,
GUCY2EP,390226,,,,1.958102691,,,,
GUCY1B1,2983,Q02153,,,,,3.73052574,,
GUCY1A1,2982,Q02108,,,,3.199462853,6.530237331,,
GUCA1A,2978,,,,,,-2.626672001,,
GTSF1L,149699,Q9H1H1,,,1.118975789,,,,
GTF2A2,2958,P52657,,,1.618543671,,,,
GSTZ1,2954,O43708,,,1.20160234,,,,
GSDMA,284110,Q96QA5,,,1.114516451,,,,
GRM7,2917,Q14831,,,,-2.154905548,-3.00634573,,
GRK6,2870,P43250,,,,,-2.22321404,,
GRIP1,23426,Q9Y3R0,,,,,2.081035847,,
GRIN3A,116443,Q8TCU5,,,,,2.512043967,,
GRHL2,79977,Q6ISB3,,,1.252713046,,,,
GRASLND,386597,,,,,5.411242009,5.152594248,,
GRAMD4,23151,Q6IC98,,,,,-2.078936518,,
GRAMD1B,57476,Q3KR37,,,,2.333801749,2.424617053,,
GPRASP1,9737,Q5JY77,,,,-2.175408719,,,
GPR68,8111,Q15743,,,,2.219377227,,,
GPR39,2863,O43194,,,1.396457906,,,,
GPR18,2841,Q14330,,,1.200119598,,,,
GPR158,57512,Q5T848,,,1.380822805,,,,
GPNMB,10457,Q14956,,,1.483981324,,,,
GPD1,2819,P21695,,,,,-2.76050459,,
GPATCH2,55105,Q9NW75,,,2.371467629,,,,
GPAT2P1,643219,,,,,,-3.60939902,,
GPAT2,150763,Q6NUI2,,,,,-3.494493655,,
GOT1,2805,P17174,,,1.380232662,,,,
GON7,84520,Q9BXV9,,,,,-2.42218489,,
GOLM2,113201,Q6P4E1,,,1.588660664,,,ZIKVug NS4A,0.910914235
GOLGA7B,401647,Q2TAP0,,,,,-4.336760736,,
GNL3,26354,Q9BVP2,,,1.3027982,,,"DENV2 16681 Capsid,DENV2 16681 Capsid Anchor","0.7400791651042176,0.6523756850842157"
GNG7,2788,O60262,,,,,-2.348985024,,
GNG4,2786,P50150,,,2.742938881,,,,
GNB2,2783,P62879,,,1.463199062,,,,
GNAI2,2771,P04899,,,1.725212247,,,,
GMPR,2766,P36959,,1.612729285,,3.934501909,3.989128731,,
GMPPB,29925,Q9Y5P6,,,,,-2.428220558,,
GMEB2,26205,Q9UKD1,,,1.167163693,,,,
GMCL1,64395,Q96IK5,,,1.250828626,,,,
GLYATL1P1,100129032,,,,,,-2.029397989,,
GLT1D1,144423,Q96MS3,,,,2.445799522,,,
GLRA1,2741,P23415,,,1.211099191,,,,
GLI1,2735,P08151,,,1.490515577,,,,
GJB3,2707,O75712,,,1.250577799,,,,
GJA9,81025,P57773,,,1.203758811,,,,
GJA4,2701,P35212,,,1.141319397,,,,
GIMAP2,26157,Q9UG22,,,,,2.202432676,,
GGT1,2678,P19440,,,1.141783153,,,,
GGACT,87769,Q9BVM4,,,1.588549287,,,,
GEMIN7,79760,Q9H840,,,1.422842363,,,,
GCSAM,257144,Q8N6F7,,,,,2.147465428,,
GCKR,2646,Q14397,,,1.851198737,,,,
GCH1,2643,P30793,,,,3.719892006,4.700219096,,
GBP5,115362,Q96PP8,,3.175454832,,4.997802454,5.952728832,,
GBP4,115361,Q96PP9,,,1.335124347,6.086862789,7.787938406,,
GBP3,2635,Q9H0R5,,,,,2.975439823,,
GBP2,2634,P32456,,1.111666448,,,2.094330395,,
GBP1P1,400759,,,,,5.335365909,6.881713374,,
GBP1,2633,P32455,,2.687539728,,3.268561294,4.854079951,,
GATD3,8209,"['A0A0B4J2D5', 'P0DPI2']",,,1.160719329,,,,
GAS6-DT,100506394,,,,,,2.295155591,,
GARIN2,161142,Q8N9W8,,,1.907693942,,,,
GAREM1,64762,Q9H706,,,,2.787735755,3.434011299,,
GANC,2595,Q8TET4,,,1.097357019,,,,
GALNT14,79623,Q96FL9,,,1.30871157,,,,
GALK1,2584,P51570,,,,,-2.352828874,,
GAGE8,100101629,Q9UEU5,,,1.285125605,,,,
GADD45GIP1,90480,Q8TAE8,,,1.878432521,,,"DENV2 16681 Capsid,ZIKVfp Capsid","0.6743974270767914,0.847505464"
GADD45B,4616,O75293,,,,2.021839532,,,
GABRA4,2557,P48169,,,2.353297287,,,,
GABPB1-AS1,100129387,,,,,,3.805415409,,
GABPB1,2553,Q06547,,,1.164917019,,,,
G0S2,50486,P27469,,,,,2.556034985,,
FZD7,8324,O75084,,,,-2.160267472,,,
FXYD6,53826,Q9H0Q3,,,,,3.010157683,,
FXYD4,53828,P59646,,,1.354227678,,,,
FUT3,2525,P21217,,,1.193864807,,,,
