A - HGNC,B - Gene ID,C - UniProtID,D - Protein abundance 24 hours after infection vs mock control,E - Protein abundance 48 hours after infection vs mock control,"F - siRNA Screen Average Zscore (the higher the score, the stronger the negative effect on viral replication)",G - mRNA expression 24 hours after infection (log2FC_24hpi),H - mRNA expression 48 hours after infection (log2FC_48hpi),I - Dengue viral protein interacting with host protein,J - dengue_MiST_list
TSNAX-DISC1,100303453,,,,,,5.09648459,,
TSKU,25987,Q8WUA8,,,1.190369125,,,,
TSHZ2,128553,Q9NRE2,,,1.367125728,,,,
TSGA10IP,254187,Q3SY00,,,1.200564394,,,,
TSEN15,116461,Q8WW01,,,1.458940607,,,,
TRNAU1AP,54952,Q9NX07,,,1.204857175,,,,
TRMT112,51504,Q9UI30,,,1.427854335,,,DENV2 16681 NS5,0.7254108864357698
TRMT10C,54931,Q7L0Y3,,,,,5.563049862,,
TRIR,79002,Q9BQ61,,,1.205628239,,,,
TRIP11,9321,Q15643,,,1.378049163,,,,
TRIM73,375593,Q86UV7,,,1.515252504,,,,
TRIM69,140691,Q86WT6,,,,,2.966759419,,
TRIM54,57159,Q9BYV2,,,,,-2.728444139,,
TRIM5,85363,Q9C035,,,,2.461762726,3.151971953,,
TRIM31,11074,Q9BZY9,,,,4.432883954,5.252081494,,
TRIM24,8805,O15164,,,1.459981891,,,,
TRIM22,10346,Q8IYM9,,,,2.654225418,2.912001278,,
TRIM21,6737,P19474,,,,,2.678713623,,
TRIB2,28951,Q92519,,,,2.835462333,2.666427897,,
TRIB1,10221,Q96RU8,,,,,-2.385038175,,
TRHR,7201,P34981,,,1.110405527,,,,
TRAPPC2L,51693,Q9UL33,,,,,-2.042776133,,
TRANK1,9881,O15050,,,,2.133498444,2.104421619,,
TRAFD1,10906,O14545,,,,,2.28318007,,
TRADD,8717,Q15628,,,,,2.095533107,,
TPM2,7169,P07951,,,,,-2.511331401,,
TP53I13,90313,Q8NBR0,,,,,-2.256178416,,
TOR1B,27348,O14657,,,,,2.536339897,,
TOMM70,9868,O94826,,,1.2824343,,,DENV2 16681 NS4A,0.771273943145989
TOMM34,10953,Q15785,,,1.395216731,,,,
TOB1,10140,P50616,,,1.73081389,,,,
TNKS1BP1,85456,Q9C0C2,,,1.368691027,,,DENV2 16681 NS2B3,0.6623194131664107
TNIP3,79931,Q96KP6,,,,5.081562335,10.90977375,,
TNFSF18,8995,Q9UNG2,,,,,4.79617696,,
TNFSF13B,10673,Q9Y275,,,,2.169117826,3.781879713,,
TNFSF10,8743,P50591,,,,5.849113775,6.16181457,,
TNFRSF9,3604,Q07011,,,,,3.497599893,,
TNFRSF21,27242,O75509,,,,,-2.131956787,,
TNFRSF12A,51330,Q9NP84,,,,-2.443426404,,,
TNFAIP6,7130,P98066,,,,3.265415604,6.266653842,,
TNF,7124,P01375,,,,2.492981672,5.088999092,,
TMTC1,83857,Q8IUR5,,,1.468799144,,,,
